input,output
what is -27480961671944403824 * -34076180203334726300,936446202094112274724918060369713371200
what is -62732198343412431711 + 91053901346473171077,28321703003060739366
what is 43882726311020509424 - -90638686994480913711,134521413305501423135
what is 86561316421271382001 * 25475065347680357757,2205155192413125300379818083893490531757
what is 7383199659323409438 - 69217899582575387098,-61834699923251977660
what is 78128680898046915301 / 49437540384370573182,1.58
what is -46460301923719407491 / 8301279717351351060,-5.6
what is -58600005823756191176 + 21538724881331265620,-37061280942424925556
what is 30264789194258709726 + -8557823810955242679,21706965383303467047
what is 71895594003107413485 / 82608850296538835810,0.87
what is -98295694677831454036 * -24565217364248534612,2414655105730737502888540386534233094032
what is 69865613491063390467 / 85809342703387275453,0.81
what is 65788823332103458294 / -15715111159925941767,-4.19
what is -81524810883539014233 / 29227015448448888365,-2.79
what is 43432901807219287889 * 60286146571014332783,2618402284354495289971162360505727565087
what is -35589740431061418734 - 50981791734577699437,-86571532165639118171
what is 32188372995124929127 / 52225238681555445764,0.62
what is -39166043071915036570 - 8083401678293798176,-47249444750208834746
what is -70638205220030455685 - 64071711995071293471,-134709917215101749156
what is -46808439411865938618 / 94128724005841944602,-0.5
what is -94425592577865166538 / -28648270918264951319,3.3
what is 28024046732803457694 * -95338820555883097565,-2671779562708430852602985039283151915110
what is 51075578485977742055 + -37706269906020765446,13369308579956976609
what is -8476514823190532082 + 8038047594869974864,-438467228320557218
what is 52382986735800394913 + 15073737950546665019,67456724686347059932
what is 73799818056107982323 - -278801753098376167,74078619809206358490
what is 36178505016110442518 - -78397535725873105962,114576040741983548480
what is 90439485023461338861 - 20272730065050737170,70166754958410601691
what is 84594229308250976805 + -60659064376273910690,23935164931977066115
what is 56818492119369191758 / -3194805742590620319,-17.78
what is -84073410417251924659 * 9450109683083669213,-794502949873939839554239843255953823367
what is -47708001068187538908 / -36804242447100640294,1.3
what is 85412627682310527590 * 55936832636517526028,4777711859710587817528159440446237112520
what is -34253129249727627852 / 32072211661739427618,-1.07
what is 43888181018776460610 * -27382262405619724715,-1201757689161475866933896018750240976150
what is -43991886603748168134 / -79711924211873738764,0.55
what is 44513750740975598660 + -42752736198308162258,1761014542667436402
what is -61393282976018730300 + 26017784227592015708,-35375498748426714592
what is -92829875813989444640 + -87380003124585487450,-180209878938574932090
what is 12614796877339685259 * 95140190519201778390,1200174178271129322824842488595667753010
what is 27673118180786205007 * -22671928033513730528,-627402943857705248892309957784362353696
what is -64271351912567241476 - -40400171399047089085,-23871180513520152391
what is -78696383133092475262 / 35456780396290049676,-2.22
what is 19158602943123354042 / 45722449653554050379,0.42
what is 349860671341557713 / -17753962519235080608,-0.02
what is 47395221769429824425 / 29916922209333461676,1.58
what is 67444205214127781911 + -6381661115063458858,61062544099064323053
what is -67649791015830119002 - 80434986747142978963,-148084777762973097965
what is 56932307503437637380 / -37728891778145704229,-1.51
what is -32083839725037101546 / -69639130280697051751,0.46
what is -15451565421801202706 - 21286209055161534341,-36737774476962737047
what is 90961100501567523032 + -35314736478804297307,55646364022763225725
what is 29260417192463049990 + -83223670764849123543,-53963253572386073553
what is 48260023520296964882 + 13305563233809977942,61565586754106942824
what is 48128646089719961938 - -90546779925037848435,138675426014757810373
what is -43509761151905269137 + 63922484899787980488,20412723747882711351
what is 54104733674399759472 + 93484651275448954418,147589384949848713890
what is 11003099697291522989 + 8619708264490273055,19622807961781796044
what is -98792805376383996858 / -2187375086893345473,45.17
what is -93112312154827050873 - 79375460311238835769,-172487772466065886642
what is -39999037186737440650 * 22531893813781824345,-901254058545078485686341340673162624250
what is -61994817660701822846 + 73044849727177760640,11050032066475937794
what is -44267740128174991868 - 17004260329070066027,-61272000457245057895
what is 54483330116907704758 * 41765505439093680156,2275523820337645255796006590781331382248
what is 40589094360842348383 * 87513139923583009887,3552079094171910529502138829264587462721
what is 92369265269281737689 - -99624000544230066626,191993265813511804315
what is -14696118998953099917 * -14262106763826977078,209597618176975149793754958299402702526
what is -45030211125700378295 - -13463210519590581855,-31567000606109796440
what is 55080773817438595270 + -41990393013483440961,13090380803955154309
what is -60600878040647019180 / 55736227571269702627,-1.09
what is 268769404782435758 / 13703101168711543885,0.02
what is -65333104236767704392 + 51343414206039581439,-13989690030728122953
what is -85708391826113287480 * -46501968310374782697,3985608920631105147109003251709290733560
what is 73491189592512325497 - -6393307559934246043,79884497152446571540
what is -41746240032791393013 - -73269759373513822191,31523519340722429178
what is 64427382155908739289 * -31295152639597723257,-2016264758738858636505524787113584944273
what is -61158115843260267031 / -84920071263715756304,0.72
what is -40116009872595857456 + 78911140261586494850,38795130388990637394
what is 58310620233825380775 - -52228792957939430005,110539413191764810780
what is 39833961821891936023 / 38167397896708860118,1.04
what is -25242493695252998244 - -64621590155138421001,39379096459885422757
what is 9282771788467777803 - -82277452800264117404,91560224588731895207
what is -98338757490670934912 - -16495044414364425673,-81843713076306509239
what is -13387619798774222008 - -13464915453671709280,77295654897487272
what is 20062156639304299690 * 6601772778629634171,132445799581962909915856347572048706990
what is 65296869992951094686 - -73623323464463172718,138920193457414267404
what is 68182179461493473886 * 53753742076765726517,3665047289004873671825803760712957235062
what is 17194994757043972688 - 32006119316612232567,-14811124559568259879
what is 46652594726362289702 + 87971996651240274469,134624591377602564171
what is 37814809130329762068 - 3922141281625712371,33892667848704049697
what is 18487214081817114621 + 10554633968844999448,29041848050662114069
what is -7274735278241714052 + 3770599927078008861,-3504135351163705191
what is 79497776970764832931 - -80886054394574600910,160383831365339433841
what is 68443696522336667452 * 79142279715863384673,5416790174958434519427969217003954763196
what is -93970839072404290614 / -96052430284942764186,0.98
what is 64385374632878782509 / -27713866866984998273,-2.32
what is -44826982942575275023 + 44592964549003398099,-234018393571876924
what is 36640833410793052339 + 66700049785108299256,103340883195901351595
what is 61178729441645982714 * -65492826317580853107,-4006767901651990587567278728591495192398
what is -26835604651717551555 * -61315657467380323444,1645442742754751433961256850907645155420
what is -27835621778939980416 - 22241826407953050417,-50077448186893030833
what is 47163584009478848928 / -12587317290716383405,-3.75
what is -28740445005192031872 - -46516967152201124809,17776522147009092937
what is -50268899824792528295 / -82052214138995201811,0.61
what is 29722856569389146292 + 40613731393081428004,70336587962470574296
what is -59874424643774506786 + 52825620469759405467,-7048804174015101319
what is 87972533843959324464 + 43465701710392957379,131438235554352281843
what is -63561717150196188109 + -79688714186958564739,-143250431337154752848
what is 39430165462519974339 - -64432365702269050238,103862531164789024577
what is -90906794327194929502 - -64082035287455318344,-26824759039739611158
what is -51726006904398123425 * -29441205249709595121,1522875986020280794694033079648935809425
what is 87457034015924067541 * 24394326693464892361,2133455459425923574906271423268858954301
what is 14832428921848005466 + 94669585266901798807,109502014188749804273
what is -66127428908379510361 + 60342505690346329510,-5784923218033180851
what is 92532871157399456735 / -67290765030869161581,-1.38
what is -47441372217234117229 + -98874984552750041895,-146316356769984159124
what is 15495892392510812210 / -94664055593115675510,-0.16
what is 36827496014299198051 - -18816931413559682544,55644427427858880595
what is -18809597162695813216 + -69135613466709299915,-87945210629405113131
what is 19847920749671744995 * 62186820742402112847,1234279089769240165266081565985397450765
what is 23284203198114857175 - 14747215203845464130,8536987994269393045
what is -85422156857654939840 + -35447506966185518323,-120869663823840458163
what is 76665066556008709532 + -40892577293436416103,35772489262572293429
what is 64282760738677439160 / -22910588098819870250,-2.81
what is 44290829708404529919 + 77449410062243493184,121740239770648023103
what is 15958723983144972734 * -87508734695622775925,-1396527743121705779793037600933516628950
what is 7230299116673572991 - -28609464126330909813,35839763243004482804
what is 99886115284117870328 + 55249632579497847340,155135747863615717668
what is -33658323258789178348 * 42770604292480013511,-1439586825250048308095946624723628659828
what is -57942181484097073879 + 40360128734609840870,-17582052749487233009
what is 31810227690197637642 * 97964779293681307811,3116281934951961307743539085765242221662
what is 70827429640795710643 + 50711337825899629877,121538767466695340520
what is -45984400568178813339 - -84110058681387350021,38125658113208536682
what is 58783870895332617545 + -43302747170949361942,15481123724383255603
what is 74369484247466005992 / 42067973153638284873,1.77
what is -99021952440444985359 - 40580445423007317796,-139602397863452303155
what is 51871637500422478096 - 39435771621605538399,12435865878816939697
what is 14922273840606525779 * -55532708007220332989,-828674275994184525061902557850792623431
what is -78865725503608986268 + -90654126364802832373,-169519851868411818641
what is 15802649870746468414 * -83398708665682256413,-1317920592716166084553521006482553438982
what is -68460884990760907232 / -80374748527048649373,0.85
what is 38563425887544441164 / -34550648124305306992,-1.12
what is 46109578970493579053 / 73658730251253058783,0.63
what is 50538251193807064596 - -12778853282673945995,63317104476481010591
what is 75409553547745640962 * 49042994632356224404,3698310329870468748669217092479286436648
what is -33958793542551838879 / 2781297805829902833,-12.21
what is 9426272347570212726 / -47134938018660984099,-0.2
what is 80424594609681844808 + -410985069367569326,80013609540314275482
what is -92297873471525005550 * 38415399933430176146,-3545659722413768519107270895780127610300
what is 79781689611782008411 - -22070073141742605441,101851762753524613852
what is -5588666322352383248 / 81847120329772205867,-0.07
what is -47251164723546840519 / 31394312088083099943,-1.51
what is -21632931585569784322 - 47796807507890827301,-69429739093460611623
what is 20995630013269665373 * -627126575242194216,-13166917545274029947255503676596082568
what is 76128342582023889029 / -69585285988920526621,-1.09
what is -21071355477095760615 - 3089073905544136186,-24160429382639896801
what is 26545656067280609326 - 54095386747623643581,-27549730680343034255
what is 63715082640415178739 - -19719070194097200814,83434152834512379553
what is -3800622893525911917 / 5838633261401280510,-0.65
what is 23590202692907215578 + 29736001972170643877,53326204665077859455
what is -52043012300584719139 / 16959845122621265609,-3.07
what is -76795174000878668382 * -49903611412454098967,3832356521691647022679723035788601761394
what is -22080473042086830717 / -19817214059110268016,1.11
what is -12240506888900594948 - -91101157053582443226,78860650164681848278
what is -60508753756299148536 - 91412628760633399939,-151921382516932548475
what is -6506670218019005046 + -54449222853627520534,-60955893071646525580
what is 16269640203730536518 - 36719695189867803339,-20450054986137266821
what is -99301374575067643741 / 31768657802787665418,-3.13
what is -88561453477090579980 * 48346487547888281686,-4281635207753047092003318091819352246280
what is 75905367176602714512 * -38562763507385036346,-2927120723372557108639960359473381653152
what is 4804425269077193126 / 91717249225465605006,0.05
what is -58687931794775989579 + -10300440504085550442,-68988372298861540021
what is -60414491620785225689 - 99731188523698944909,-160145680144484170598
what is -13624200052647146187 * 4441654589475061567,-60513990691766572285374437908674295029
what is -32513639722035629281 - 67374927956447179377,-99888567678482808658
what is 29030129487347014391 / -81892193697104397235,-0.35
what is 26517402971376744568 + -6746588185123903892,19770814786252840676
what is -98866250010002126501 - 17018265405324560569,-115884515415326687070
what is 45401788800556523557 / -7888435203546600947,-5.76
what is 2136667180333842841 + -59945175589657875331,-57808508409324032490
what is 84921515811377702081 - 3312583202882914007,81608932608494788074
what is 58459465781307488388 / 53992016804264125606,1.08
what is 8381019332576675934 - -72812407494415774003,81193426826992449937
what is -59314119408332806638 - -98543544342200404893,39229424933867598255
what is -67253625859973629525 / 65416940879814794944,-1.03
what is 4212205265575323984 / 95663914419544703728,0.04
what is -32836257268209600417 * -52617811475975193111,1727771994515272957405769066705721127287
what is -4547942667768633135 / 32613441016666662950,-0.14
what is -32161600793594546409 - -42312653827797437286,10151053034202890877
what is 13138273829081761463 - 3903981313856625486,9234292515225135977
what is 75318105503285392049 - -46363910838182673482,121682016341468065531
what is 60665351191663021870 / -35270752493945995231,-1.72
what is 24163510271572979274 / -61815980866365404199,-0.39
what is 66510757165574089722 / -67437253447855858496,-0.99
what is 35827686734302147402 - 78442312437658138494,-42614625703355991092
what is -5714735589262571246 / -611278048136295505,9.35
what is -61672970556719204688 - -46406818173442483425,-15266152383276721263
what is -39629075250727827230 / -47381955547524305950,0.84
what is 44078660455257195602 * 21067525471579509185,928628301894235412797482004930700604370
what is -82715359511765381958 + 98518557408142355266,15803197896376973308
what is -25420515726613065037 / 2629879197283310201,-9.67
what is 86105377469338453819 * 19352359273410577808,1666342200159270257077980483166114248752
what is -54549977962835699453 / -28738351051243775756,1.9
what is -22396520931226108632 - 73004141559267991543,-95400662490494100175
what is -59034327442948867155 - 60578923882899915246,-119613251325848782401
what is -73262875875949935253 - 43723844157226404796,-116986720033176340049
what is 50616791148278442673 * 5009433236439867047,253561435900121293359455857540331296631
what is 8633666956358744968 * -22689458015180289658,-195893223923351142092376337575589940944
what is 61354449342555462761 * 46517216107555837792,2854038179227739654538769771485612463712
what is 85867607430265337507 / -22754790949574032227,-3.77
what is -68926692852186293233 - 39427840704480251631,-108354533556666544864
what is 96406567656877856067 + -55289600543161206399,41116967113716649668
what is 6253634389819765464 - -29601371280609846715,35855005670429612179
what is -66235842261364746038 / 13069025403185803438,-5.07
what is 56422790191321058282 * -68513097949323605845,-3865700150952114860478123826349640858290
what is 50871008639767119148 + -81193093406832369661,-30322084767065250513
what is 26425990021583185388 + -46094059994722059573,-19668069973138874185
what is 29723112521647246920 / -96769313714702608368,-0.31
what is -63756736341526442644 + 53454743270132412455,-10301993071394030189
what is 38773830645606756460 + 96772775117429905514,135546605763036661974
what is -59029322808012626795 * -59737398473089215453,3526258178178863891842951962564235863135
what is 54709103811561206167 - 28480003168587061117,26229100642974145050
what is -49575360805679205965 * 47541935663302511560,-2356908613908609774739844703251033455400
what is 4529682466403539139 - -83796936277094502566,88326618743498041705
what is 35181501710761508635 * 47021105950998603358,1654273119456955518456024065510056996330
what is 83408511223595660839 * -79490742595069279521,-6630204495912789667816764568485604378119
what is -98261268441317558974 + 98416747754610220669,155479313292661695
what is -95148479439675435687 + 80341741739590002523,-14806737700085433164
what is 37713526634959537428 / 99782184226621305473,0.38
what is 28049082039570273418 - 46406002268339562557,-18356920228769289139
what is -92361394995354504883 / -40128715868187767253,2.3
what is 70557267147742862539 * 9158124602208314893,646172244130328407744574554079325493327
what is -92679521752921443121 / 62515709011781728976,-1.48
what is -65875111322709006138 + -30227186541452054,-65905338509250458192
what is 55284581152692241844 / -87287208319782151275,-0.63
what is -40162213861653885044 + 96354239347561602522,56192025485907717478
what is -70671414125379297454 * -95955316475218750040,6781297908152015191278515040983234398160
what is -15966858040417164921 * 13577898439653283655,-216796376873145709869161321543328666255
what is -52977056375962978168 / -15100353048823237031,3.51
what is -16357522399063110734 * 16522415886105045606,-270265787943599458161086878623298134804
what is -89067170276793356335 + -6897861412811605514,-95965031689604961849
what is -74044736575040600466 * -26075690250944036923,1930767615643505544206068543563995006118
what is -99014207936291587999 + -22715863382062241877,-121730071318353829876
what is -64943761471057092530 - 35946009504550190561,-100889770975607283091
what is -87495054963468391530 / -92100344079849547537,0.95
what is 91146301108705006226 - -94900632999547410162,186046934108252416388
what is -21092868631300997050 - 2353467489125057938,-23446336120426054988
what is 51307312771655139051 - 72100414265667594445,-20793101494012455394
what is -50955337860467798043 * -56751501114245723167,2891791913365105524193070671338642362181
what is -78750057679051249930 * 97887781948304127925,-7708668474503341812300250436249867295250
what is -71907293900134738600 * -10728031148859909693,771423688790869656119763548528161249800
what is -62898964551671516745 - -46218499230899538954,-16680465320771977791
what is 97883717953436532227 * -92343947239339736163,-9038968886282554829462885911375826825001
what is -83871015695516788651 + 72097546286463671199,-11773469409053117452
what is 43828969486423975426 - -40317998613513715998,84146968099937691424
what is 47401959503224116407 / 33159000268957752715,1.43
what is 96623341726207165968 * 91395544655083237219,8830942943460934479265116444953047762992
what is -22620275914569921260 / 70462662212980410880,-0.32
what is -43808211544480400200 / 31787824767712447329,-1.38
what is 24642062967294492865 + -28347802500836755740,-3705739533542262875
what is 45297272006764773359 / 21800360991111144608,2.08
what is -64498029905823786918 + 90184229163427702591,25686199257603915673
what is 36978411362494492004 * 81818923634120742277,3025533815379039590608649879900521253108
what is -14828569013520663522 + -70523733365850858874,-85352302379371522396
what is 19033271275076484471 - 64072860019172171124,-45039588744095686653
what is -56241208744812135597 + -88994598282503240090,-145235807027315375687
what is -20926644089437302948 / -9421043365916357169,2.22
what is 73713035744280264676 - 75135319887514577614,-1422284143234312938
what is 30707337022209239342 * 79876294350239350357,2452788290697987501049977416065206145094
what is 95304622522893125571 / 50026437453307642686,1.91
what is 59793965511593361262 / 53186274000978493259,1.12
what is -79941950877611283959 * -99935691414655248979,7989054133990489636862775175799013827861
what is -96369652337897149946 * -83287351581712496775,8026373116073841604269000094244216424150
what is 17568994965816359200 + 16670458266774062283,34239453232590421483
what is 76332193375430327673 + -74937794350590538515,1394399024839789158
what is -67587829844382013481 * -74484652308264798099,5034256006228957150119581587147561172619
what is 29685055384993834153 + 67543091613946176727,97228146998940010880
what is -14209044159889806129 * 16069818390905922184,-228336759157791595223218730677720265736
what is -42838180845703300254 / -14455919400085386069,2.96
what is 42024011452290410696 + 31775463973281320709,73799475425571731405
what is -89531456151453974392 * -45852734031635949957,4105262046377695467423925474654071501144
what is 33559527340081848541 + -71463072813506539475,-37903545473424690934
what is -61584387390817665175 - 1161675694392531439,-62746063085210196614
what is 67281297456518213778 / 58129131322666310274,1.16
what is 72912218208424788617 * -88832639855518429137,-6476984821175972392431013879827118733529
what is -10531082958567124801 / -20654605327553656778,0.51
what is -23111180880139271680 - -50515730758539500998,27404549878400229318
what is -5210130841532095090 / 35732187595580459970,-0.15
what is 74715980266135490938 - -81590311918376144921,156306292184511635859
what is -75273582320546693360 - 65823753085874862066,-141097335406421555426
what is 5001733948190244259 / -11376651886943977904,-0.44
what is -64713647013363946128 * -13924657438277418295,901115366242697507469965768213301611760
what is -47635373564727091444 / 54236782236140551411,-0.88
what is 37088767826442947234 + 15969317469973537271,53058085296416484505
what is 50366029151879540894 / -13737818539029977865,-3.67
what is -39207646209415778732 + -59556430900177131157,-98764077109592909889
what is 56338317500537895102 - 93052351231725605161,-36714033731187710059
what is -99416417521990405781 / -64352418175877293851,1.54
what is 78941483456722679495 - 55531226379674856130,23410257077047823365
what is -2377844243028971312 + -54705872502281739541,-57083716745310710853
what is -77931398825611950340 - 75267372653361534001,-153198771478973484341
what is -19512146605066677928 / 54161561447187357886,-0.36
what is 57253472024483971681 + 28067025684004999902,85320497708488971583
what is 56998251077441417112 - -54075015678951777456,111073266756393194568
what is -35466290307218303999 * -25362092694897557371,899499342315817393603378526566421226629
what is 52809219432958677545 / -80138418727081672546,-0.66
what is 69464464791893389577 / 41265202689201516992,1.68
what is -39414369343695546017 / 28864297706071788996,-1.37
what is -94249340944228473435 - 36366104578301538159,-130615445522530011594
what is 2292589873761396874 * -52044116564930108363,-119315814625616541048435810435069457262
what is 24443436653757620280 * 9549438052969932655,233421084126753055297702338924662243400
what is -47824143674343126893 / -85888050673066306036,0.56
what is -59753201844997443547 + -94789985448159457027,-154543187293156900574
what is 9103630574744357353 + 82196269315717032068,91299899890461389421
what is 57740126576994688668 * 14479696078925963698,836059484393598819661092727749379974264
what is -5591653702186879927 * 75570715978470937699,-422565273777930220969419094106810667973
what is -34972819725383040499 * 55890872764844608141,-1954661417499231265946851969584788102359
what is -28883419214720954751 + -38425478937517386554,-67308898152238341305
what is 37713643050574810667 + 1632973099952296487,39346616150527107154
what is -858577863521429947 * -86669844288059670061,74412809740577280251079666135744716767
what is 55411467508560958165 + -55417192647989544637,-5725139428586472
what is -81199750264108624186 / -21400014837177706438,3.79
what is -20655863422590484349 - 70384793288507973404,-91040656711098457753
what is -18972088462556721232 * 5149493547114203005,-97696647113215656619211697451641702160
what is 21340503659732120905 - 27053383221591186674,-5712879561859065769
what is 50215617591489616844 * 72860967251205379131,3658758468832577709080790426346943682564
what is 2972392869637121493 - 53245017745775476362,-50272624876138354869
what is 97156828417330336724 + -12177976552768374458,84978851864561962266
what is 45579380330742645822 - 90544817171939205433,-44965436841196559611
what is 77887961430854869127 + 52023839422069121613,129911800852923990740
what is 88165013753676196591 * -5674638644997949726,-500304594183386693556497054484710584066
what is -88515501277751737122 - -7275496596582095542,-81240004681169641580
what is -85466062684138980278 + 80153769913287655215,-5312292770851325063
what is 4887390176469864218 + -46079235174688789080,-41191844998218924862
what is 57216105850476388561 + -57903342728179992436,-687236877703603875
what is 48072195480656504536 + -24741960104335374519,23330235376321130017
what is 34248111967346029415 - -60000458409955179458,94248570377301208873
what is -58950591675681930464 / -57423174075680071144,1.03
what is 1046750651781719054 - -98704561871772787948,99751312523554507002
what is -42947608142123562609 - 9326674526362565827,-52274282668486128436
what is -93708776017029630553 - 64722012044395361545,-158430788061424992098
what is 78650894834308754946 + 53128265492529327792,131779160326838082738
what is 26781866767389649587 / 19016412626305719790,1.41
what is -15493121470756978678 * -61241982922829297232,948829480533418813361132668478348419296
what is 41476404923946539080 - 71326141198616189098,-29849736274669650018
what is 65832050886386995842 - -70425599305938543518,136257650192325539360
what is 42395655358642484169 / -16848582141633659068,-2.52
what is 84387327176849505230 * -75414245231487632019,-6364006586144709456125497752424455959370
what is 57014072975577133622 / -29874995763019265578,-1.91
what is 44897823818412210114 + -34414290900701297574,10483532917710912540
what is 62729686530381725724 * -49529806545276537424,-3106989238495646246034409323748389494976
what is -91042692221773765428 / 23745102108646512087,-3.83
what is -15896647765764715461 * -53580273531229071027,851746735519274933218325741602014048447
what is -8292849915886417954 / 62542610083673066896,-0.13
what is 10969219458642135395 + 3651106485888905973,14620325944531041368
what is -28751645670853143947 / -25402506789142252349,1.13
what is 35792715560941952103 + -67910315440742378483,-32117599879800426380
what is -17620635251677324362 - 99541246923581431156,-117161882175258755518
what is 90293575076353145642 + -98621523991620383207,-8327948915267237565
what is -83527940934522631137 * 64859383902483403321,-5417570787656161662065861840015283805977
what is 15600057040998088985 - -54528536740158988133,70128593781157077118
what is 94813397657107942614 / 48948476994512727728,1.94
what is 79584317846351834958 - -65330983660132257292,144915301506484092250
what is -39314082199424754554 * 80528730977110786880,-3165913149049496008140259425609803451520
what is 84557163310886709630 + 494161353055879000,85051324663942588630
what is -2352732483142159895 * -60095304044223299217,141388173909148566686184225384242302215
what is 54648931287523850292 / 29593049156218054197,1.85
what is 90814502174239582335 / -67942103619516988883,-1.34
what is 42034174740536404285 * -50593524476535254583,-2126657048586288504234673725931887088155
what is -42978638506505061449 / -95897488781769225480,0.45
what is 94755052920724839513 - 17872695914156894069,76882357006567945444
what is -99880522660412849820 + -23580626677309131232,-123461149337721981052
what is -10075429301833868541 * 35574297780134280432,-358426322246128472566143849239916689712
what is 36305395894088183820 + 88084344095591553899,124389739989679737719
what is 46060897076092134924 / -12542510895888925843,-3.67
what is -60551261886700049043 - 99368626522069884112,-159919888408769933155
what is 11389244405904624676 - -59229892256787730268,70619136662692354944
what is 89935495669712342230 * 92114895425871288577,8284398778689452514392114626410913706710
what is 865047811226184587 - -30173594853079120083,31038642664305304670
what is -17192985953099972643 * 93829117749769884650,-1613202703463556940661683029460265629950
what is 15235073356516442723 - 11936912745877779312,3298160610638663411
what is -92746398839196590252 / 52156009561216153373,-1.78
what is 24485775257341527777 + -94415801626754560979,-69930026369413033202
what is -36241098648283840158 - 73635564267396071510,-109876662915679911668
what is 85510374914569389183 - 65967846287935240615,19542528626634148568
what is 12569736432863255536 + -21373452898403189810,-8803716465539934274
what is 8270604967426486121 - 80546405029893065041,-72275800062466578920
what is -26399987999250823444 / -24202638152527061461,1.09
what is 62601587965244038148 + -15693521788156981436,46908066177087056712
what is -15418408993690453587 - 63777940673464939618,-79196349667155393205
what is 33731042888854837226 - 91165461817998799393,-57434418929143962167
what is 23190315890923831820 / -74648759010731287480,-0.31
what is 23519731076919836283 * -85884191945373366766,-2019973098313746264636526596949233170778
what is -50979031161036650257 / 49601333120504498208,-1.03
what is -12727957302595687582 / 98432987485356852541,-0.13
what is -51580244911373205522 - 98812098567104386510,-150392343478477592032
what is 52040723196861858468 / 29294835889037018444,1.78
what is -44779186554114003601 + -53659412315712560874,-98438598869826564475
what is -76183403101160602259 / -28678990455870624186,2.66
what is 38599234879216546298 / 55654378678291432640,0.69
what is 864727784855261351 - -45110439985956441515,45975167770811702866
what is 41235122934503499592 + 21800331945347585817,63035454879851085409
what is -78382563906753398722 * -11500625449607121687,901448509271464754739930710303084284014
what is -21853506911286140915 + -32217834335966828946,-54071341247252969861
what is -31239937541617416720 + -10551838883283309274,-41791776424900725994
what is -41383372325015357260 / 97894980926775420768,-0.42
what is -15637084000903652154 + 50246098935293866457,34609014934390214303
what is 25017598103663523562 / 48656002813742389400,0.51
what is -56198242894544025349 + 10763532648812930767,-45434710245731094582
what is 17919494124564780448 * 68533831352112866274,1228091588248100050155943524336793810752
what is -8628190470313832803 + 58195887273341169351,49567696803027336548
what is 1321301004277365260 * 35119505449780796303,46403437820519768495223255721588633780
what is -65427713501939098220 - -49611779487803956641,-15815934014135141579
what is 90633324815665853069 - 94501716707458688714,-3868391891792835645
what is -93365751682973128643 * 70448606042522123446,-6577487058177720867049987290458484463778
what is -14513529781839434818 - -58706290350953223665,44192760569113788847
what is 11075678601407337734 + -35430320140988987763,-24354641539581650029
what is -72219788906096792687 / 46403297648432596961,-1.56
what is -15661382986794428109 - 4346544847223493709,-20007927834017921818
what is -38323390778521724633 - -7799863461896958999,-30523527316624765634
what is 24603643479003134027 / -38397649135879066377,-0.64
what is -64211071156307279592 * 19603592619733146182,-1258767680624945283166077538699681317744
what is 71521445468322387300 - -51916640036742297204,123438085505064684504
what is -30483248778836409947 / -34495490902102641930,0.88
what is -50812612478704765850 - -50263827295657957959,-548785183046807891
what is 47717063742063030071 / 84815470325579268537,0.56
what is -89546007681978500617 - -92243681329303484769,2697673647324984152
what is -25229246040169534196 + 82859324636728648353,57630078596559114157
what is -38804366545953097187 - 4789040251983926911,-43593406797937024098
what is 87593159416227550718 - -54620625461840785046,142213784878068335764
what is -36579630454715411913 - -15344920333329012760,-21234710121386399153
what is 74757162354479798116 + 86283277074803396147,161040439429283194263
what is -62271256198342351938 - -83141799960011242416,20870543761668890478
what is -22332670157155083662 * -17423753763586076366,389118945701657340499134420437050932292
what is 11916938501884532255 * 2536921774125283488,30232340766342805533312409144154905440
what is -36067720113519825783 * 48211864777944595653,-1738892044961770341791445639354939121299
what is 60194162974405400020 / -38298264676489106521,-1.57
what is -30668455681483594201 - 80020526536051185889,-110688982217534780090
what is 30371830609097698477 - -44526924346754371410,74898754955852069887
what is -16385887889821046323 - 93568868940990690760,-109954756830811737083
what is 62923861003009789009 - -90293889050393645023,153217750053403434032
what is -89569523167572123932 + -92387234709335462143,-181956757876907586075
what is 75565915690042353168 + -30788097864354766632,44777817825687586536
what is 7086706018689994422 / -53191891496289596058,-0.13
what is -88826308399191000774 / 76003446281263015480,-1.17
what is 47830625996551392727 * 29924382522581383223,1431301948615329252294579353082762019121
what is 2599034266903851709 / -39082480879166682063,-0.07
what is -44146332811309120713 / -93693556912406028516,0.47
what is 43600993655458412759 / 58998343162549297293,0.74
what is -41089916655489275533 / 14834562569423022723,-2.77
what is 22317661458558004762 / -25427879880570281128,-0.88
what is -36163334537119473680 - 13557822611654498687,-49721157148773972367
what is 46455355985393551518 * -49794715656177814377,-2313231241999190017277653141270990574286
what is 92457406849765495268 / -8428641840144471854,-10.97
what is 6177678222948797149 + 45826423039270292498,52004101262219089647
what is -6425494201350416817 * 17091327725772044432,-109820227195327878405699227509444012944
what is 25558182470729009933 + 6623151284177713537,32181333754906723470
what is 3551198220366517892 / -54465764044111521826,-0.07
what is -99691769822135461045 * -2706972616437498037,269862890992710837293589847075277468665
what is -4383964918167529599 + -1195608446386024983,-5579573364553554582
what is -93735665978744712298 + 96703531286836779734,2967865308092067436
what is 57590459042546438663 * -88816963806956781373,-5115009716407873935280297878378245424299
what is -76372156134962585995 * -95289268251191815254,7277446872866354561253766251458127767730
what is -51106842569924495306 - -45521464152914242366,-5585378417010252940
what is -81578534516209763913 / -52177231277638778320,1.56
what is -71092367913157399139 - 45101073131045729498,-116193441044203128637
what is -28101615774201643702 * -61377741365908221007,1724813704953075204276009634694085647914
what is -88332221768852187223 + -25085349972756248339,-113417571741608435562
